,M,D,O,n,Fvco,Fref,Fout,Fout (MHz),delay,delay (ps)
112,90,1,9,64,900000000.0,10000000,100000000.0,100.0,1.111111e-09,1111.111
151,100,1,10,71,1000000000.0,10000000,100000000.0,100.0,1.125e-09,1125.0
194,110,1,11,78,1100000000.0,10000000,100000000.0,100.0,1.136364e-09,1136.364
241,120,1,12,85,1200000000.0,10000000,100000000.0,100.0,1.145833e-09,1145.833
316,130,1,13,92,1300000000.0,10000000,100000000.0,100.0,1.153846e-09,1153.846
371,140,1,14,99,1400000000.0,10000000,100000000.0,100.0,1.160714e-09,1160.7140000000002
458,150,1,15,106,1500000000.0,10000000,100000000.0,100.0,1.166667e-09,1166.667
521,160,1,16,113,1600000000.0,10000000,100000000.0,100.0,1.171875e-09,1171.875
18,60,1,6,42,600000000.0,10000000,100000000.0,100.0,1.25e-09,1250.0
519,160,1,16,111,1600000000.0,10000000,100000000.0,100.0,1.328125e-09,1328.125
456,150,1,15,104,1500000000.0,10000000,100000000.0,100.0,1.333333e-09,1333.3329999999999
369,140,1,14,97,1400000000.0,10000000,100000000.0,100.0,1.339286e-09,1339.286
314,130,1,13,90,1300000000.0,10000000,100000000.0,100.0,1.346154e-09,1346.154
239,120,1,12,83,1200000000.0,10000000,100000000.0,100.0,1.354167e-09,1354.167
192,110,1,11,76,1100000000.0,10000000,100000000.0,100.0,1.363636e-09,1363.636
149,100,1,10,69,1000000000.0,10000000,100000000.0,100.0,1.375e-09,1375.0
110,90,1,9,62,900000000.0,10000000,100000000.0,100.0,1.388889e-09,1388.8890000000001
75,80,1,8,55,800000000.0,10000000,100000000.0,100.0,1.40625e-09,1406.25
455,150,1,15,103,1500000000.0,10000000,100000000.0,100.0,1.416667e-09,1416.667
44,70,1,7,48,700000000.0,10000000,100000000.0,100.0,1.428571e-09,1428.5710000000001
313,130,1,13,89,1300000000.0,10000000,100000000.0,100.0,1.442308e-09,1442.308
17,60,1,6,41,600000000.0,10000000,100000000.0,100.0,1.458333e-09,1458.333
191,110,1,11,75,1100000000.0,10000000,100000000.0,100.0,1.477273e-09,1477.273
517,160,1,16,109,1600000000.0,10000000,100000000.0,100.0,1.484375e-09,1484.375
148,100,1,10,68,1000000000.0,10000000,100000000.0,100.0,1.5e-09,1500.0
367,140,1,14,95,1400000000.0,10000000,100000000.0,100.0,1.517857e-09,1517.857
109,90,1,9,61,900000000.0,10000000,100000000.0,100.0,1.527778e-09,1527.778
312,130,1,13,88,1300000000.0,10000000,100000000.0,100.0,1.538462e-09,1538.4620000000002
74,80,1,8,54,800000000.0,10000000,100000000.0,100.0,1.5625e-09,1562.5
453,150,1,15,101,1500000000.0,10000000,100000000.0,100.0,1.583333e-09,1583.333
190,110,1,11,74,1100000000.0,10000000,100000000.0,100.0,1.590909e-09,1590.9089999999999
43,70,1,7,47,700000000.0,10000000,100000000.0,100.0,1.607143e-09,1607.143
147,100,1,10,67,1000000000.0,10000000,100000000.0,100.0,1.625e-09,1625.0
311,130,1,13,87,1300000000.0,10000000,100000000.0,100.0,1.634615e-09,1634.615
515,160,1,16,107,1600000000.0,10000000,100000000.0,100.0,1.640625e-09,1640.625
16,60,1,6,40,600000000.0,10000000,100000000.0,100.0,1.666667e-09,1666.667
365,140,1,14,93,1400000000.0,10000000,100000000.0,100.0,1.696429e-09,1696.429
189,110,1,11,73,1100000000.0,10000000,100000000.0,100.0,1.704545e-09,1704.545
73,80,1,8,53,800000000.0,10000000,100000000.0,100.0,1.71875e-09,1718.7500000000002
310,130,1,13,86,1300000000.0,10000000,100000000.0,100.0,1.730769e-09,1730.7689999999998
146,100,1,10,66,1000000000.0,10000000,100000000.0,100.0,1.75e-09,1750.0
235,120,1,12,79,1200000000.0,10000000,100000000.0,100.0,1.770833e-09,1770.833
42,70,1,7,46,700000000.0,10000000,100000000.0,100.0,1.785714e-09,1785.7140000000002
513,160,1,16,105,1600000000.0,10000000,100000000.0,100.0,1.796875e-09,1796.8749999999998
107,90,1,9,59,900000000.0,10000000,100000000.0,100.0,1.805556e-09,1805.556
188,110,1,11,72,1100000000.0,10000000,100000000.0,100.0,1.818182e-09,1818.182
309,130,1,13,85,1300000000.0,10000000,100000000.0,100.0,1.826923e-09,1826.9229999999998
450,150,1,15,98,1500000000.0,10000000,100000000.0,100.0,1.833333e-09,1833.333
15,60,1,6,39,600000000.0,10000000,100000000.0,100.0,1.875e-09,1874.9999999999998
449,150,1,15,97,1500000000.0,10000000,100000000.0,100.0,1.916667e-09,1916.6670000000004
308,130,1,13,84,1300000000.0,10000000,100000000.0,100.0,1.923077e-09,1923.0769999999998
187,110,1,11,71,1100000000.0,10000000,100000000.0,100.0,1.931818e-09,1931.818
106,90,1,9,58,900000000.0,10000000,100000000.0,100.0,1.944444e-09,1944.4440000000002
511,160,1,16,103,1600000000.0,10000000,100000000.0,100.0,1.953125e-09,1953.1249999999998
41,70,1,7,45,700000000.0,10000000,100000000.0,100.0,1.964286e-09,1964.2859999999998
233,120,1,12,77,1200000000.0,10000000,100000000.0,100.0,1.979167e-09,1979.1670000000004
144,100,1,10,64,1000000000.0,10000000,100000000.0,100.0,2e-09,2000.0000000000002
307,130,1,13,83,1300000000.0,10000000,100000000.0,100.0,2.019231e-09,2019.2310000000002
71,80,1,8,51,800000000.0,10000000,100000000.0,100.0,2.03125e-09,2031.2500000000002
186,110,1,11,70,1100000000.0,10000000,100000000.0,100.0,2.045455e-09,2045.455
361,140,1,14,89,1400000000.0,10000000,100000000.0,100.0,2.053571e-09,2053.571
14,60,1,6,38,600000000.0,10000000,100000000.0,100.0,2.083333e-09,2083.3329999999996
509,160,1,16,101,1600000000.0,10000000,100000000.0,100.0,2.109375e-09,2109.375
306,130,1,13,82,1300000000.0,10000000,100000000.0,100.0,2.115385e-09,2115.385
143,100,1,10,63,1000000000.0,10000000,100000000.0,100.0,2.125e-09,2125.0
40,70,1,7,44,700000000.0,10000000,100000000.0,100.0,2.142857e-09,2142.857
185,110,1,11,69,1100000000.0,10000000,100000000.0,100.0,2.159091e-09,2159.0910000000003
446,150,1,15,94,1500000000.0,10000000,100000000.0,100.0,2.166667e-09,2166.6670000000004
70,80,1,8,50,800000000.0,10000000,100000000.0,100.0,2.1875e-09,2187.5
305,130,1,13,81,1300000000.0,10000000,100000000.0,100.0,2.211538e-09,2211.538
104,90,1,9,56,900000000.0,10000000,100000000.0,100.0,2.222222e-09,2222.222
359,140,1,14,87,1400000000.0,10000000,100000000.0,100.0,2.232143e-09,2232.143
142,100,1,10,62,1000000000.0,10000000,100000000.0,100.0,2.25e-09,2250.0
507,160,1,16,99,1600000000.0,10000000,100000000.0,100.0,2.265625e-09,2265.625
184,110,1,11,68,1100000000.0,10000000,100000000.0,100.0,2.272727e-09,2272.7270000000003
13,60,1,6,37,600000000.0,10000000,100000000.0,100.0,2.291667e-09,2291.667
304,130,1,13,80,1300000000.0,10000000,100000000.0,100.0,2.307692e-09,2307.692
39,70,1,7,43,700000000.0,10000000,100000000.0,100.0,2.321429e-09,2321.429
444,150,1,15,92,1500000000.0,10000000,100000000.0,100.0,2.333333e-09,2333.333
69,80,1,8,49,800000000.0,10000000,100000000.0,100.0,2.34375e-09,2343.75
103,90,1,9,55,900000000.0,10000000,100000000.0,100.0,2.361111e-09,2361.111
141,100,1,10,61,1000000000.0,10000000,100000000.0,100.0,2.375e-09,2375.0
183,110,1,11,67,1100000000.0,10000000,100000000.0,100.0,2.386364e-09,2386.364
229,120,1,12,73,1200000000.0,10000000,100000000.0,100.0,2.395833e-09,2395.833
303,130,1,13,79,1300000000.0,10000000,100000000.0,100.0,2.403846e-09,2403.846
357,140,1,14,85,1400000000.0,10000000,100000000.0,100.0,2.410714e-09,2410.714
443,150,1,15,91,1500000000.0,10000000,100000000.0,100.0,2.416667e-09,2416.667
505,160,1,16,97,1600000000.0,10000000,100000000.0,100.0,2.421875e-09,2421.875
12,60,1,6,36,600000000.0,10000000,100000000.0,100.0,2.5e-09,2500.0
503,160,1,16,95,1600000000.0,10000000,100000000.0,100.0,2.578125e-09,2578.125
441,150,1,15,89,1500000000.0,10000000,100000000.0,100.0,2.583333e-09,2583.333
355,140,1,14,83,1400000000.0,10000000,100000000.0,100.0,2.589286e-09,2589.286
301,130,1,13,77,1300000000.0,10000000,100000000.0,100.0,2.596154e-09,2596.154
227,120,1,12,71,1200000000.0,10000000,100000000.0,100.0,2.604167e-09,2604.167
181,110,1,11,65,1100000000.0,10000000,100000000.0,100.0,2.613636e-09,2613.636
139,100,1,10,59,1000000000.0,10000000,100000000.0,100.0,2.625e-09,2625.0
101,90,1,9,53,900000000.0,10000000,100000000.0,100.0,2.638889e-09,2638.889
67,80,1,8,47,800000000.0,10000000,100000000.0,100.0,2.65625e-09,2656.25
440,150,1,15,88,1500000000.0,10000000,100000000.0,100.0,2.666667e-09,2666.6670000000004
37,70,1,7,41,700000000.0,10000000,100000000.0,100.0,2.678571e-09,2678.5710000000004
300,130,1,13,76,1300000000.0,10000000,100000000.0,100.0,2.692308e-09,2692.308
11,60,1,6,35,600000000.0,10000000,100000000.0,100.0,2.708333e-09,2708.333
180,110,1,11,64,1100000000.0,10000000,100000000.0,100.0,2.727273e-09,2727.273
501,160,1,16,93,1600000000.0,10000000,100000000.0,100.0,2.734375e-09,2734.375
138,100,1,10,58,1000000000.0,10000000,100000000.0,100.0,2.75e-09,2750.0
353,140,1,14,81,1400000000.0,10000000,100000000.0,100.0,2.767857e-09,2767.857
100,90,1,9,52,900000000.0,10000000,100000000.0,100.0,2.777778e-09,2777.7780000000002
299,130,1,13,75,1300000000.0,10000000,100000000.0,100.0,2.788462e-09,2788.462
66,80,1,8,46,800000000.0,10000000,100000000.0,100.0,2.8125e-09,2812.5
438,150,1,15,86,1500000000.0,10000000,100000000.0,100.0,2.833333e-09,2833.333
179,110,1,11,63,1100000000.0,10000000,100000000.0,100.0,2.840909e-09,2840.909
36,70,1,7,40,700000000.0,10000000,100000000.0,100.0,2.857143e-09,2857.143
137,100,1,10,57,1000000000.0,10000000,100000000.0,100.0,2.875e-09,2875.0
298,130,1,13,74,1300000000.0,10000000,100000000.0,100.0,2.884615e-09,2884.6150000000002
499,160,1,16,91,1600000000.0,10000000,100000000.0,100.0,2.890625e-09,2890.625
10,60,1,6,34,600000000.0,10000000,100000000.0,100.0,2.916667e-09,2916.667
351,140,1,14,79,1400000000.0,10000000,100000000.0,100.0,2.946429e-09,2946.429
178,110,1,11,62,1100000000.0,10000000,100000000.0,100.0,2.954545e-09,2954.545
65,80,1,8,45,800000000.0,10000000,100000000.0,100.0,2.96875e-09,2968.75
297,130,1,13,73,1300000000.0,10000000,100000000.0,100.0,2.980769e-09,2980.769
136,100,1,10,56,1000000000.0,10000000,100000000.0,100.0,3e-09,3000.0
223,120,1,12,67,1200000000.0,10000000,100000000.0,100.0,3.020833e-09,3020.833
35,70,1,7,39,700000000.0,10000000,100000000.0,100.0,3.035714e-09,3035.714
497,160,1,16,89,1600000000.0,10000000,100000000.0,100.0,3.046875e-09,3046.8750000000005
98,90,1,9,50,900000000.0,10000000,100000000.0,100.0,3.055556e-09,3055.556
177,110,1,11,61,1100000000.0,10000000,100000000.0,100.0,3.068182e-09,3068.182
296,130,1,13,72,1300000000.0,10000000,100000000.0,100.0,3.076923e-09,3076.923
435,150,1,15,83,1500000000.0,10000000,100000000.0,100.0,3.083333e-09,3083.333
9,60,1,6,33,600000000.0,10000000,100000000.0,100.0,3.125e-09,3125.0
434,150,1,15,82,1500000000.0,10000000,100000000.0,100.0,3.166667e-09,3166.667
295,130,1,13,71,1300000000.0,10000000,100000000.0,100.0,3.173077e-09,3173.0769999999998
176,110,1,11,60,1100000000.0,10000000,100000000.0,100.0,3.181818e-09,3181.8179999999998
97,90,1,9,49,900000000.0,10000000,100000000.0,100.0,3.194444e-09,3194.444
495,160,1,16,87,1600000000.0,10000000,100000000.0,100.0,3.203125e-09,3203.125
34,70,1,7,38,700000000.0,10000000,100000000.0,100.0,3.214286e-09,3214.286
221,120,1,12,65,1200000000.0,10000000,100000000.0,100.0,3.229167e-09,3229.167
134,100,1,10,54,1000000000.0,10000000,100000000.0,100.0,3.25e-09,3250.0
294,130,1,13,70,1300000000.0,10000000,100000000.0,100.0,3.269231e-09,3269.231
63,80,1,8,43,800000000.0,10000000,100000000.0,100.0,3.28125e-09,3281.25
175,110,1,11,59,1100000000.0,10000000,100000000.0,100.0,3.295455e-09,3295.4550000000004
347,140,1,14,75,1400000000.0,10000000,100000000.0,100.0,3.303571e-09,3303.571
