,M,D,O,n,Fvco,Fpfd,Fref,Fout,Fout (MHz),delay,delay (ps),stability metric
616,160,1,16,107,1600000000.0,62500.0,10000000,100000000.0,100.0,1.6406250000000008e-09,1640.625000000001,1.0512720920988259
541,150,1,15,100,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,1.6666666666666667e-09,1666.6666666666667,0.988145874103066
437,140,1,14,93,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,1.6964285714285713e-09,1696.4285714285713,0.9252097602739726
615,160,1,16,106,1600000000.0,62500.0,10000000,100000000.0,100.0,1.71875e-09,1718.7500000000002,1.0512720920988259
371,130,1,13,86,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,1.7307692307692311e-09,1730.7692307692312,0.8625076208038536
540,150,1,15,99,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,1.7500000000000008e-09,1750.000000000001,0.988145874103066
282,120,1,12,79,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,1.7708333333333335e-09,1770.8333333333335,0.8000979492824527
614,160,1,16,105,1600000000.0,62500.0,10000000,100000000.0,100.0,1.796875000000001e-09,1796.8750000000011,1.0512720920988259
226,110,1,11,72,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,1.8181818181818188e-09,1818.181818181819,0.7380605096957837
539,150,1,15,98,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,1.8333333333333332e-09,1833.3333333333333,0.988145874103066
613,160,1,16,104,1600000000.0,62500.0,10000000,100000000.0,100.0,1.8750000000000002e-09,1875.0000000000002,1.0512720920988259
538,150,1,15,97,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,1.9166666666666673e-09,1916.6666666666674,0.988145874103066
369,130,1,13,84,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,1.9230769230769227e-09,1923.0769230769229,0.8625076208038536
612,160,1,16,103,1600000000.0,62500.0,10000000,100000000.0,100.0,1.9531249999999995e-09,1953.1249999999995,1.0512720920988259
434,140,1,14,90,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,1.964285714285714e-09,1964.285714285714,0.9252097602739726
537,150,1,15,96,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,1.9999999999999997e-09,1999.9999999999998,0.988145874103066
368,130,1,13,83,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,2.0192307692307694e-09,2019.2307692307695,0.8625076208038536
611,160,1,16,102,1600000000.0,62500.0,10000000,100000000.0,100.0,2.0312500000000004e-09,2031.2500000000005,1.0512720920988259
433,140,1,14,89,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,2.0535714285714292e-09,2053.5714285714294,0.9252097602739726
536,150,1,15,95,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.0833333333333338e-09,2083.333333333334,0.988145874103066
610,160,1,16,101,1600000000.0,62500.0,10000000,100000000.0,100.0,2.1093749999999997e-09,2109.3749999999995,1.0512720920988259
173,100,1,10,63,1000000000.0,100000.0,10000000,100000000.0,100.0,2.125000000000001e-09,2125.000000000001,0.6765069716242661
432,140,1,14,88,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,2.142857142857143e-09,2142.857142857143,0.9252097602739726
535,150,1,15,94,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.1666666666666662e-09,2166.666666666666,0.988145874103066
609,160,1,16,100,1600000000.0,62500.0,10000000,100000000.0,100.0,2.1875000000000006e-09,2187.5000000000005,1.0512720920988259
366,130,1,13,81,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,2.211538461538461e-09,2211.538461538461,0.8625076208038536
431,140,1,14,87,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,2.2321428571428566e-09,2232.1428571428564,0.9252097602739726
534,150,1,15,93,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.2500000000000003e-09,2250.0000000000005,0.988145874103066
608,160,1,16,99,1600000000.0,62500.0,10000000,100000000.0,100.0,2.265625e-09,2265.625,1.0512720920988259
277,120,1,12,74,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,2.2916666666666673e-09,2291.6666666666674,0.8000979492824527
365,130,1,13,80,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,2.3076923076923076e-09,2307.6923076923076,0.8625076208038536
533,150,1,15,92,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,2.3333333333333327e-09,2333.3333333333326,0.988145874103066
